"","participant","block_num","time_since_start","time_to_end","block_duration"
"1",1,0,0,299.5289626,299.5289626
"2",1,0,162.152647,137.3763156,299.5289626
"3",1,0,289.4711823,10.0577803,299.5289626
"4",1,2,0,254.8115255,254.8115255
"5",1,2,84.6495439,170.1619816,254.8115255
"6",1,2,238.9788585,15.8326670000001,254.8115255
"7",1,3,0,266.7333285,266.7333285
"8",1,3,207.2453443,59.4879842,266.7333285
"9",1,4,0,293.8841984,293.8841984
"10",1,4,225.4220425,68.4621559000002,293.8841984
"11",1,5,0,307.2318823,307.2318823
"12",1,5,283.3570826,23.8747996999996,307.2318823
"13",1,6,0,289.4506766,289.4506766
"14",1,7,0,290.4558484,290.4558484
"15",1,7,256.9010102,33.5548382000002,290.4558484
"16",9,0,0,300.947962500002,300.947962500002
"17",9,0,193.331903699996,107.616058800006,300.947962500002
"18",9,0,277.285585400001,23.6623771000011,300.947962500002
"19",9,0,289.136616399999,11.811346100003,300.947962500002
"20",9,1,0,286.011264799989,286.011264799989
"21",9,1,242.627439099989,43.3838257,286.011264799989
"22",9,1,279.921136799999,6.09012799999005,286.011264799989
"23",9,2,0,287.77331869999,287.77331869999
"24",9,2,196.30685819999,91.4664605,287.77331869999
"25",9,2,248.3795102,39.39380849999,287.77331869999
"26",9,2,280.98562409999,6.78769460000012,287.77331869999
"27",9,3,0,285.54046779999,285.54046779999
"28",9,3,120.3462284,165.19423939999,285.54046779999
"29",9,3,169.7387978,115.80166999999,285.54046779999
"30",9,3,220.8013332,64.7391345999902,285.54046779999
"31",9,3,276.71512579999,8.82534200000009,285.54046779999
"32",9,4,0,289.9519572,289.9519572
"33",9,4,163.4661148,126.4858424,289.9519572
"34",9,4,246.211621,43.7403362,289.9519572
"35",9,4,276.9946773,12.9572798999998,289.9519572
"36",9,5,0,309.37398099999,309.37398099999
"37",9,5,171.97140629999,137.4025747,309.37398099999
"38",9,5,202.1293596,107.24462139999,309.37398099999
"39",9,5,263.94782319999,45.4261578000001,309.37398099999
"40",9,5,286.2057547,23.1682262999898,309.37398099999
"41",9,6,0,262.1023844,262.1023844
"42",9,6,180.68648970001,81.4158946999901,262.1023844
"43",9,6,221.37679540001,40.7255889999901,262.1023844
"44",9,6,240.40506170001,21.6973226999899,262.1023844
"45",9,7,0,284.8582552,284.8582552
"46",9,7,167.3616426,117.4966126,284.8582552
"47",9,7,231.87066239999,52.9875928000101,284.8582552
"48",9,7,268.99317219999,15.8650830000097,284.8582552
"49",95,0,0,296.8163271,296.8163271
"50",95,0,133.0982361,163.718091,296.8163271
"51",95,0,133.0982361,163.718091,296.8163271
"52",95,0,287.4819817,9.33434539999996,296.8163271
"53",95,1,0,282.9481454,282.9481454
"54",95,1,158.6677172,124.2804282,282.9481454
"55",95,1,274.4972169,8.45092850000015,282.9481454
"56",95,3,0,253.6611655,253.6611655
"57",95,3,169.1684824,84.4926831,253.6611655
"58",95,3,222.6743823,30.9867832,253.6611655
"59",95,3,248.7605851,4.90058040000008,253.6611655
"60",95,5,0,253.9278068,253.9278068
"61",95,5,178.4194351,75.5083717000002,253.9278068
"62",95,5,219.6573531,34.2704537,253.9278068
"63",95,5,241.0264294,12.9013774,253.9278068
"64",95,6,0,291.5989284,291.5989284
"65",95,6,142.5157868,149.0831416,291.5989284
"66",95,7,0,264.8626833,264.8626833
"67",95,7,156.5007593,108.361924,264.8626833
"68",95,7,220.6578339,44.2048494000001,264.8626833
"69",96,1,0,262.2317782,262.2317782
"70",96,1,57.3802613,204.8515169,262.2317782
"71",96,1,244.6718796,17.5598986,262.2317782
"72",96,2,0,279.7583356,279.7583356
"73",96,2,129.2615378,150.4967978,279.7583356
"74",96,2,191.4837755,88.2745601000001,279.7583356
"75",96,2,260.7899792,18.9683564000002,279.7583356
"76",96,3,0,279.7751397,279.7751397
"77",96,3,182.7413297,97.0338100000001,279.7751397
"78",96,3,188.1251463,91.6499934000001,279.7751397
"79",96,3,241.1298971,38.6452426000001,279.7751397
"80",96,4,0,290.7176174,290.7176174
"81",96,4,123.7277066,166.9899108,290.7176174
"82",96,4,171.5069774,119.21064,290.7176174
"83",96,4,269.9240699,20.7935474999999,290.7176174
"84",96,5,0,301.5852708,301.5852708
"85",96,5,92.4665930000001,209.1186778,301.5852708
"86",96,5,199.8761795,101.7090913,301.5852708
"87",96,5,234.6542652,66.9310055999999,301.5852708
"88",96,5,234.6542652,66.9310055999999,301.5852708
"89",96,6,0,274.149492,274.149492
"90",96,6,112.4017249,161.7477671,274.149492
"91",96,6,174.0405624,100.1089296,274.149492
"92",96,6,227.9870305,46.1624615000001,274.149492
"93",96,6,246.6471828,27.5023092000001,274.149492
"94",96,7,0,311.8527988,311.8527988
"95",96,7,166.0314613,145.8213375,311.8527988
"96",96,7,217.4027029,94.4500958999997,311.8527988
"97",96,7,264.7153992,47.1373995999998,311.8527988
"98",96,7,288.9840936,22.8687052,311.8527988
"99",97,0,0,312.3331839,312.3331839
"100",97,0,92.4383582999999,219.8948256,312.3331839
"101",97,2,0,258.1301107,258.1301107
"102",97,2,5.50025180000011,252.6298589,258.1301107
"103",97,2,10.8838562000001,247.2462545,258.1301107
"104",97,2,16.3508195000002,241.7792912,258.1301107
"105",97,2,208.0608319,50.0692788000001,258.1301107
"106",97,2,247.3960767,10.7340340000001,258.1301107
"107",97,3,0,287.7651783,287.7651783
"108",97,3,140.7741871,146.9909912,287.7651783
"109",97,3,232.8123195,54.9528587999998,287.7651783
"110",97,4,0,282.9481279,282.9481279
"111",97,4,147.9244248,135.0237031,282.9481279
