"","participant","block_num","known_t_to_target","cc_time","time_since_start","time_to_end","time_since_last_cc","block_duration"
"1",1,0,299.5289626,0,162.152647,137.3763156,162.152647,299.5289626
"2",1,0,137.3763156,162.152647,289.4711823,10.0577803,127.3185353,299.5289626
"3",1,2,254.8115255,0,84.6495439,170.1619816,84.6495439,254.8115255
"4",1,2,170.1619816,84.6495439,238.9788585,15.8326670000001,154.3293146,254.8115255
"5",1,3,266.7333285,0,207.2453443,59.4879842,207.2453443,266.7333285
"6",1,4,293.8841984,0,225.4220425,68.4621559000002,225.4220425,293.8841984
"7",1,5,307.2318823,0,283.3570826,23.8747996999996,283.3570826,307.2318823
"8",1,7,290.4558484,0,256.9010102,33.5548382000002,256.9010102,290.4558484
"9",9,0,300.947962500002,0,193.331903699996,107.616058800006,193.331903699996,300.947962500002
"10",9,0,107.616058800006,193.331903699996,277.285585400001,23.6623771000011,83.9536817000049,300.947962500002
"11",9,0,23.6623771000011,277.285585400001,289.136616399999,11.811346100003,11.8510309999981,300.947962500002
"12",9,1,286.011264799989,0,242.627439099989,43.3838257,242.627439099989,286.011264799989
"13",9,1,43.3838257,242.627439099989,279.921136799999,6.09012799999005,37.2936977000099,286.011264799989
"14",9,2,287.77331869999,0,196.30685819999,91.4664605,196.30685819999,287.77331869999
"15",9,2,91.4664605,196.30685819999,248.3795102,39.39380849999,52.0726520000101,287.77331869999
"16",9,2,39.39380849999,248.3795102,280.98562409999,6.78769460000012,32.6061138999899,287.77331869999
"17",9,3,285.54046779999,0,120.3462284,165.19423939999,120.3462284,285.54046779999
"18",9,3,165.19423939999,120.3462284,169.7387978,115.80166999999,49.3925694,285.54046779999
"19",9,3,115.80166999999,169.7387978,220.8013332,64.7391345999902,51.0625353999999,285.54046779999
"20",9,3,64.7391345999902,220.8013332,276.71512579999,8.82534200000009,55.9137925999901,285.54046779999
"21",9,4,289.9519572,0,163.4661148,126.4858424,163.4661148,289.9519572
"22",9,4,126.4858424,163.4661148,246.211621,43.7403362,82.7455061999999,289.9519572
"23",9,4,43.7403362,246.211621,276.9946773,12.9572798999998,30.7830563000002,289.9519572
"24",9,5,309.37398099999,0,171.97140629999,137.4025747,171.97140629999,309.37398099999
"25",9,5,137.4025747,171.97140629999,202.1293596,107.24462139999,30.1579533000104,309.37398099999
"26",9,5,107.24462139999,202.1293596,263.94782319999,45.4261578000001,61.8184635999896,309.37398099999
"27",9,5,45.4261578000001,263.94782319999,286.2057547,23.1682262999898,22.2579315000103,309.37398099999
"28",9,6,262.1023844,0,180.68648970001,81.4158946999901,180.68648970001,262.1023844
"29",9,6,81.4158946999901,180.68648970001,221.37679540001,40.7255889999901,40.6903057,262.1023844
"30",9,6,40.7255889999901,221.37679540001,240.40506170001,21.6973226999899,19.0282663000003,262.1023844
"31",9,7,284.8582552,0,167.3616426,117.4966126,167.3616426,284.8582552
"32",9,7,117.4966126,167.3616426,231.87066239999,52.9875928000101,64.5090197999898,284.8582552
"33",9,7,52.9875928000101,231.87066239999,268.99317219999,15.8650830000097,37.1225098000004,284.8582552
"34",93,0,296.8163271,0,133.0982361,163.718091,133.0982361,296.8163271
"35",93,0,163.718091,133.0982361,133.0982361,163.718091,0,296.8163271
"36",93,0,163.718091,133.0982361,287.4819817,9.33434539999996,154.3837456,296.8163271
"37",93,1,282.9481454,0,158.6677172,124.2804282,158.6677172,282.9481454
"38",93,1,124.2804282,158.6677172,274.4972169,8.45092850000015,115.8294997,282.9481454
"39",93,3,253.6611655,0,169.1684824,84.4926831,169.1684824,253.6611655
"40",93,3,84.4926831,169.1684824,222.6743823,30.9867832,53.5058999,253.6611655
"41",93,3,30.9867832,222.6743823,248.7605851,4.90058040000008,26.0862027999999,253.6611655
"42",93,5,253.9278068,0,178.4194351,75.5083717000002,178.4194351,253.9278068
"43",93,5,75.5083717000002,178.4194351,219.6573531,34.2704537,41.2379180000003,253.9278068
"44",93,5,34.2704537,219.6573531,241.0264294,12.9013774,21.3690763,253.9278068
"45",93,6,291.5989284,0,142.5157868,149.0831416,142.5157868,291.5989284
"46",93,7,264.8626833,0,156.5007593,108.361924,156.5007593,264.8626833
"47",93,7,108.361924,156.5007593,220.6578339,44.2048494000001,64.1570746000002,264.8626833
"48",94,1,262.2317782,0,57.3802613,204.8515169,57.3802613,262.2317782
"49",94,1,204.8515169,57.3802613,244.6718796,17.5598986,187.2916183,262.2317782
"50",94,2,279.7583356,0,129.2615378,150.4967978,129.2615378,279.7583356
"51",94,2,150.4967978,129.2615378,191.4837755,88.2745601000001,62.2222377000001,279.7583356
"52",94,2,88.2745601000001,191.4837755,260.7899792,18.9683564000002,69.3062037,279.7583356
"53",94,3,279.7751397,0,182.7413297,97.0338100000001,182.7413297,279.7751397
"54",94,3,97.0338100000001,182.7413297,188.1251463,91.6499934000001,5.38381660000005,279.7751397
"55",94,3,91.6499934000001,188.1251463,241.1298971,38.6452426000001,53.0047508,279.7751397
"56",94,4,290.7176174,0,123.7277066,166.9899108,123.7277066,290.7176174
"57",94,4,166.9899108,123.7277066,171.5069774,119.21064,47.7792707999999,290.7176174
"58",94,4,119.21064,171.5069774,269.9240699,20.7935474999999,98.4170925000001,290.7176174
"59",94,5,301.5852708,0,92.4665930000001,209.1186778,92.4665930000001,301.5852708
"60",94,5,209.1186778,92.4665930000001,199.8761795,101.7090913,107.4095865,301.5852708
"61",94,5,101.7090913,199.8761795,234.6542652,66.9310055999999,34.7780857000002,301.5852708
"62",94,5,66.9310055999999,234.6542652,234.6542652,66.9310055999999,0,301.5852708
