"","participant","subject_id","block_num","known_t_to_target","cc_time","time_since_start","time_to_end","time_since_last_cc","block_duration","cens","accessed_pm","pm_acc","pm_count","r_check","r_to_target"
"1",1,1,0,300,0,162.152647,137.3763156,162.152647,299.5289626,0,1,0.455994699999962,7,0.541358824176691,1.00157259383504
"2",1,1,0,137.847353,162.152647,289.4711823,10.0577803,127.3185353,299.5289626,0,1,0.455994699999962,7,0.425062518812329,0.460213769658347
"3",1,1,0,10.5288176999999,289.4711823,299.5289626,0,10.0577803,299.5289626,1,1,0.455994699999962,7,0.0335786570109798,0.0351512508460173
"4",1,1,1,300,0,85.9480235,230.67352,85.9480235,316.6215435,0,0,NA,7,0.271453491603612,0.947503434806546
"5",1,1,1,214.0519765,85.9480235,116.3066364,200.3149071,30.3586129,316.6215435,0,0,NA,7,0.0958829666623744,0.676049943202933
"6",1,1,1,183.6933636,116.3066364,316.6215435,0,200.3149071,316.6215435,1,0,NA,7,0.632663541734013,0.580166976540559
"7",1,1,2,300,0,84.6495439,170.1619816,84.6495439,254.8115255,0,1,4.38421549999998,7,0.332204533267864,1.17734077927335
"8",1,1,2,215.3504561,84.6495439,238.9788585,15.8326670000001,154.3293146,254.8115255,0,1,4.38421549999998,7,0.605660651719617,0.845136246005481
"9",1,1,2,61.0211415000001,238.9788585,254.8115255,0,15.8326670000001,254.8115255,1,1,4.38421549999998,7,0.0621348150125184,0.239475594285864
"10",1,1,3,300,0,207.2453443,59.4879842,207.2453443,266.7333285,0,1,22.8996555000001,7,0.776975811254873,1.12471884067536
"11",1,1,3,92.7546557000001,207.2453443,266.7333285,0,59.4879842,266.7333285,1,1,22.8996555000001,7,0.223024188745127,0.347743029420488
"12",1,1,4,300,0,225.4220425,68.4621559000002,225.4220425,293.8841984,0,1,17.725749,7,0.767043766651184,1.02081024305933
"13",1,1,4,74.5779575000001,225.4220425,293.8841984,0,68.4621559000002,293.8841984,1,1,17.725749,7,0.232956233348816,0.253766476408145
"14",1,1,5,300,0,283.3570826,23.8747996999996,283.3570826,307.2318823,0,1,0.483889399999725,7,0.922290618013769,0.976461159415291
"15",1,1,5,16.6429173999998,283.3570826,307.2318823,0,23.8747996999996,307.2318823,1,1,0.483889399999725,7,0.0777093819862314,0.0541705414015223
"16",1,1,6,300,0,289.4506766,0,289.4506766,289.4506766,0,1,3.66573930000004,7,1,1.03644601395967
"17",1,1,7,300,0,256.9010102,33.5548382000002,256.9010102,290.4558484,0,1,6.86741960000018,7,0.884475253692292,1.03285921647842
"18",1,1,7,43.0989898000003,256.9010102,290.4558484,0,33.5548382000002,290.4558484,1,1,6.86741960000018,7,0.115524746307708,0.148383962786133
"19",2,2,0,300,0,9.90943520000098,293.647978899999,9.90943520000098,303.5574141,0,1,3.57250459999898,8,0.0326443524016071,0.988280918420171
"20",2,2,0,290.090564799999,9.90943520000098,144.0777825,159.4796316,134.168347299999,303.5574141,0,1,3.57250459999898,8,0.441986724975198,0.955636566018564
"21",2,2,0,155.9222175,144.0777825,212.692632,90.8647821,68.6148495,303.5574141,0,1,3.57250459999898,8,0.226035821603739,0.513649841043365
"22",2,2,0,87.307368,212.692632,258.653646099999,44.9037680000009,45.961014099999,303.5574141,0,1,3.57250459999898,8,0.151407977420898,0.287614019439626
"23",2,2,0,41.346353900001,258.653646099999,264.60217,38.9552441,5.94852390000096,303.5574141,0,1,3.57250459999898,8,0.0195960422104576,0.136206042018728
"24",2,2,0,35.39783,264.60217,286.805561700001,16.7518523999989,22.203391700001,303.5574141,0,1,3.57250459999898,8,0.0731439611377327,0.11660999980827
"25",2,2,0,13.194438299999,286.805561700001,303.5574141,0,16.7518523999989,303.5574141,1,1,3.57250459999898,8,0.055185120250367,0.0434660386705375
"26",2,2,1,300,0,9.60201149999909,271.380896800002,9.60201149999909,280.982908300001,0,1,5.00069110000004,8,0.0341729379843531,1.06768059956051
"27",2,2,1,290.397988500001,9.60201149999909,39.2055638,241.777344500001,29.603552300001,280.982908300001,0,1,5.00069110000004,8,0.105357128229286,1.03350766157615
"28",2,2,1,260.7944362,39.2055638,57.6344073999991,223.348500900002,18.428843599999,280.982908300001,0,1,5.00069110000004,8,0.0655870626135126,0.928150533346868
"29",2,2,1,242.365592600001,57.6344073999991,94.5529379000001,186.429970400001,36.918530500001,280.982908300001,0,1,5.00069110000004,8,0.131390662597113,0.862563470733355
"30",2,2,1,205.4470621,94.5529379000001,113.1068777,167.876030600001,18.5539398,280.982908300001,0,1,5.00069110000004,8,0.0660322718995784,0.731172808136242
"31",2,2,1,186.8931223,113.1068777,127.7025961,153.280312200001,14.5957184,280.982908300001,0,1,5.00069110000004,8,0.0519452179077611,0.665140536236664
"32",2,2,1,172.2974039,127.7025961,159.701678600001,121.2812297,31.999082500001,280.982908300001,0,1,5.00069110000004,8,0.113882665296624,0.613195318328903
"33",2,2,1,140.298321399999,159.701678600001,198.500358900001,82.4825493999999,38.7986803,280.982908300001,0,1,5.00069110000004,8,0.138081994149535,0.499312653032279
"34",2,2,1,101.499641099999,198.500358900001,229.604434499999,51.378473800002,31.1040755999979,280.982908300001,0,1,5.00069110000004,8,0.110697393617937,0.361230658882744
"35",2,2,1,70.395565500001,229.604434499999,256.431047900001,24.5518603999999,26.8266134000021,280.982908300001,0,1,5.00069110000004,8,0.0954741822636405,0.250533265264807
"36",2,2,1,43.5689520999989,256.431047900001,262.299747600001,18.6831606999999,5.86869969999998,280.982908300001,0,1,5.00069110000004,8,0.0208863227144552,0.155059083001166
"37",2,2,1,37.7002523999989,262.299747600001,277.734338600001,3.24856969999996,15.434591,280.982908300001,0,1,5.00069110000004,8,0.0549307112428372,0.134172760286711
"38",2,2,1,22.265661399999,277.734338600001,280.982908300001,0,3.24856969999996,280.982908300001,1,1,5.00069110000004,8,0.0115614494833669,0.0792420490438738
"39",2,2,2,300,0,69.1971111,218.8332604,69.1971111,288.0303715,0,1,6.50475600000004,8,0.240242411727751,1.04155682762781
"40",2,2,2,230.8028889,69.1971111,90.7024436000002,197.3279279,21.5053325000001,288.0303715,0,1,6.50475600000004,8,0.0746634196526047,0.801314415900061
"41",2,2,2,209.2975564,90.7024436000002,111.8841157,176.1462558,21.1816721,288.0303715,0,1,6.50475600000004,8,0.0735397173210951,0.726650996247456
"42",2,2,2,188.1158843,111.8841157,156.5833526,131.4470189,44.6992369,288.0303715,0,1,6.50475600000004,8,0.15518931794316,0.653111278926361
"43",2,2,2,143.4166474,156.5833526,193.700194,94.3301775,37.1168413999999,288.0303715,0,1,6.50475600000004,8,0.128864331933828,0.497921960983201
"44",2,2,2,106.299806,193.700194,209.4804019,78.5499695999999,15.7802079000001,288.0303715,0,1,6.50475600000004,8,0.0547866109321046,0.369057629049373
"45",2,2,2,90.5195980999999,209.4804019,227.3278636,60.7025079,17.8474616999999,288.0303715,0,1,6.50475600000004,8,0.061963818631536,0.314271018117268
"46",2,2,2,72.6721364,227.3278636,230.0995771,57.9307944,2.77171350000003,288.0303715,0,1,6.50475600000004,8,0.00962299040051071,0.252307199485732
"47",2,2,2,69.9004229,230.0995771,256.9829691,31.0474024,26.883392,288.0303715,0,1,6.50475600000004,8,0.0933352682913161,0.242684209085221
"48",2,2,2,43.0170309,256.9829691,272.9344143,15.0959571999999,15.9514452000001,288.0303715,0,1,6.50475600000004,8,0.0553811221953032,0.149348940793905
"49",2,2,2,27.0655856999999,272.9344143,288.0303715,0,15.0959571999999,288.0303715,1,1,6.50475600000004,8,0.0524109909707905,0.093967818598602
"50",2,2,3,300,0,74.2913321999999,217.0590592,74.2913321999999,291.3503914,0,1,4.64300219999996,8,0.254989642687674,1.02968799375363
"51",2,2,3,225.7086678,74.2913321999999,101.083576,190.2668154,26.7922438000001,291.3503914,0,1,4.64300219999996,8,0.0919588392219337,0.774698351065953
"52",2,2,3,198.916424,101.083576,148.9586966,142.3916948,47.8751205999999,291.3503914,0,1,4.64300219999996,8,0.16432145627109,0.682739511844019
"53",2,2,3,151.0413034,148.9586966,178.3695872,112.9808042,29.4108906000001,291.3503914,0,1,4.64300219999996,8,0.100946803121405,0.51841805557293
"54",2,2,3,121.6304128,178.3695872,198.9032216,92.4471698,20.5336344,291.3503914,0,1,4.64300219999996,8,0.0704774560326881,0.417471252451525
"55",2,2,3,101.0967784,198.9032216,225.7784396,65.5719518000001,26.8752179999999,291.3503914,0,1,4.64300219999996,8,0.0922436310137042,0.346993796418836
"56",2,2,3,74.2215604,225.7784396,258.2527456,33.0976458,32.4743060000001,291.3503914,0,1,4.64300219999996,8,0.111461343312271,0.254750165405132
"57",2,2,3,41.7472544,258.2527456,279.3437789,12.0066125000001,21.0910332999999,291.3503914,0,1,4.64300219999996,8,0.0723906125495596,0.143288822092861
"58",2,2,3,20.6562211,279.3437789,291.3503914,0,12.0066125000001,291.3503914,1,1,4.64300219999996,8,0.0412102157896743,0.0708982095433013
"59",2,2,4,300,0,104.9051278,181.5137594,104.9051278,286.4188872,0,1,7.76038259999996,8,0.366264700018707,1.04741695958939
"60",2,2,4,195.0948722,104.9051278,131.568037,154.8508502,26.6629092000001,286.4188872,0,1,7.76038259999996,8,0.09309061096024,0.681152259570681
"61",2,2,4,168.431963,131.568037,248.3720865,38.0468006999999,116.8040495,286.4188872,0,1,7.76038259999996,8,0.407808474650062,0.588061648610441
"62",2,2,4,51.6279135,248.3720865,268.2187981,18.2000891,19.8467115999999,286.4188872,0,1,7.76038259999996,8,0.0692926077397313,0.18025317396038
"63",2,2,4,31.7812019,268.2187981,274.1034006,12.3154866,5.88460250000003,286.4188872,0,1,7.76038259999996,8,0.0205454415298071,0.110960566220648
"64",2,2,4,25.8965994,274.1034006,280.0529716,6.36591560000011,5.94957099999988,286.4188872,0,1,7.76038259999996,8,0.0207722718922702,0.0904151246908413
"65",2,2,4,19.9470284000001,280.0529716,286.4188872,0,6.36591560000011,286.4188872,1,1,7.76038259999996,8,0.0222258932091826,0.0696428527985711
"66",2,2,5,300,0,71.6017001,220.424411,71.6017001,292.0261111,0,1,5.27369939999994,8,0.245189376492026,1.02730539700701
"67",2,2,5,228.3982999,71.6017001,86.6348845,205.3912266,15.0331844,292.0261111,0,1,5.27369939999994,8,0.0514789048944055,0.782116020514989
"68",2,2,5,213.3651155,86.6348845,113.5387974,178.4873137,26.9039129,292.0261111,0,1,5.27369939999994,8,0.0921284497425889,0.730637115620583
"69",2,2,5,186.4612026,113.5387974,134.5888022,157.4373089,21.0500047999999,292.0261111,0,1,5.27369939999994,8,0.0720826117935448,0.638508665877994
"70",2,2,5,165.4111978,134.5888022,149.133021,142.8930901,14.5442188000002,292.0261111,0,1,5.27369939999994,8,0.0498045148949702,0.56642605408445
"71",2,2,5,150.866979,149.133021,161.2372455,130.7888656,12.1042244999999,292.0261111,0,1,5.27369939999994,8,0.0414491171847813,0.516621539189479
"72",2,2,5,138.7627545,161.2372455,188.4211281,103.604983,27.1838825999998,292.0261111,0,1,5.27369939999994,8,0.093087164355283,0.475172422004698
"73",2,2,5,111.5788719,188.4211281,209.1711371,82.8549739999999,20.7500090000003,292.0261111,0,1,5.27369939999994,8,0.0710553207788148,0.382085257649415
"74",2,2,5,90.8288628999999,209.1711371,224.8525139,67.1735972000001,15.6813767999997,292.0261111,0,1,5.27369939999994,8,0.0536985433971343,0.3110299368706
"75",2,2,5,75.1474861000002,224.8525139,237.2565611,54.76955,12.4040472000002,292.0261111,0,1,5.27369939999994,8,0.0424758154442997,0.257331393473466
"76",2,2,5,62.7434389,237.2565611,255.8540745,36.1720366,18.5975134,292.0261111,0,1,5.27369939999994,8,0.0636844196224343,0.214855578029166
"77",2,2,5,44.1459255,255.8540745,267.9043697,24.1217414000002,12.0502951999997,292.0261111,0,1,5.27369939999994,8,0.0412644443149581,0.151171158406732
"78",2,2,5,32.0956303000003,267.9043697,276.4838513,15.5422598,8.57948160000024,292.0261111,0,1,5.27369939999994,8,0.0293791591706754,0.109906714091774
"79",2,2,5,23.5161487,276.4838513,288.9416912,3.08441989999983,12.4578399000002,292.0261111,0,1,5.27369939999994,8,0.0426600205477317,0.0805275549210984
"80",2,2,5,11.0583087999998,288.9416912,292.0261111,0,3.08441989999983,292.0261111,1,1,5.27369939999994,8,0.0105621373663522,0.0378675343733667
"81",2,2,6,300,0,26.2793583000002,258.0696116,26.2793583000002,284.3489699,0,1,10.4521827999997,8,0.0924193898407375,1.05504162756596
"82",2,2,6,273.7206417,26.2793583000002,38.1694654000003,246.1795045,11.8901071,284.3489699,0,1,10.4521827999997,8,0.0418151931557253,0.962622237725221
"83",2,2,6,261.8305346,38.1694654000003,74.2258123000001,210.1231576,36.0563468999999,284.3489699,0,1,10.4521827999997,8,0.126803156391529,0.920807044569496
"84",2,2,6,225.7741877,74.2258123000001,94.9260644000001,189.4229055,20.7002520999999,284.3489699,0,1,10.4521827999997,8,0.0727987588886987,0.794003888177967
"85",2,2,6,205.0739356,94.9260644000001,109.7012977,174.6476722,14.7752332999999,284.3489699,0,1,10.4521827999997,8,0.0519616206283287,0.721205129289268
"86",2,2,6,190.2987023,109.7012977,139.2162504,145.1327195,29.5149527000003,284.3489699,0,1,10.4521827999997,8,0.103798345780469,0.66924350866094
"87",2,2,6,160.7837496,139.2162504,145.1197555,139.2292144,5.90350510000007,284.3489699,0,1,10.4521827999997,8,0.0207614787634934,0.565445162880471
"88",2,2,6,154.8802445,145.1197555,164.8559901,119.4929798,19.7362346,284.3489699,0,1,10.4521827999997,8,0.0694084969146919,0.544683684116978
"89",2,2,6,135.1440099,164.8559901,179.9350728,104.4138971,15.0790826999996,284.3489699,0,1,10.4521827999997,8,0.0530301998466976,0.475275187202286
"90",2,2,6,120.0649272,179.9350728,200.820333,83.5286369,20.8852602000002,284.3489699,0,1,10.4521827999997,8,0.0734493963784891,0.422244987355588
"91",2,2,6,99.1796669999999,200.820333,212.404103,71.9448668999999,11.5837700000002,284.3489699,0,1,10.4521827999997,8,0.0407378651804997,0.348795590977099
"92",2,2,6,87.5958969999997,212.404103,224.2835629,60.0654070000001,11.8794598999998,284.3489699,0,1,10.4521827999997,8,0.0417777490250011,0.308057725796599
"93",2,2,6,75.7164370999999,224.2835629,236.2503314,48.0986385000001,11.9667684999999,284.3489699,0,1,10.4521827999997,8,0.04208479638315,0.266279976771598
"94",2,2,6,63.7496685999999,236.2503314,260.132342,24.2166278999998,23.8820106000003,284.3489699,0,1,10.4521827999997,8,0.0839883844432393,0.224195180388448
"95",2,2,6,39.8676579999997,260.132342,272.5660657,11.7829041999998,12.4337237,284.3489699,0,1,10.4521827999997,8,0.0437269869638447,0.140206795945209
"96",2,2,6,27.4339342999997,272.5660657,284.3489699,0,11.7829041999998,284.3489699,1,1,10.4521827999997,8,0.0414381814154054,0.0964798089813642
"97",2,2,7,300,0,149.001859,142.4167263,149.001859,291.4185853,0,1,8.51795270000002,8,0.511298408941936,1.02944703986935
